Developer_ID,Developers
612,"Square Enix,ACQUIRE Corp."
613,Square Enix
614,People Can Fly
615,Luminous Productions
616,Gas Powered Games
617,FuturLab
618,Avalanche Studios
619,"Crystal Dynamics,Eidos-MontrÃ©al,Feral Interactive (Mac),Nixxes"
620,"Eidos-MontrÃ©al,Crystal Dynamics,Nixxes,Feral Interactive (Mac),Feral interactive (Linux)"
621,"Crystal Dynamics,Eidos-MontrÃ©al,Feral Interactive (Mac),Feral Interactive (Linux),Nixxes"
622,"Standing Stone Games, LLC"
623,Star Vault AB
624,OVERKILL - a Starbreeze Studio.
625,"Ironclad Games Corporation,Stardock Entertainment"
626,Statespace
627,Steel City Interactive
628,SteelRaven7
629,Straight Back Games
630,Strange Loop Games
631,Stray Fawn Studio
632,Stress Level Zero
633,Studio 397
634,Joshua Chen
635,Studio MDHR Entertainment Inc.
636,mestiez
637,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
638,"Studio Wildcard,Grove Street Games,Instinct Games"
639,Stunlock Studios
640,Subset Games
641,Supergiant Games
642,System Era Softworks
643,Tactical Adventures
644,TaleWorlds Entertainment
645,Tann
646,Team Cherry
647,Team Reptile
648,Trepang Studios
649,The Game Kitchen
650,"Team17,Mouldy Toof Studios"
651,Small Impact Games
652,OverBorder Studio
653,moi rai games
654,"Ghost Town Games Ltd.,Team17"
655,Fika Productions
656,Ernestas NorvaiÅ¡as
657,"Blacklight Interactive,Team17"
658,Black Salt Games
659,Black Matter Pty Ltd
660,Woodland Games
661,Veewo Games
662,Techland
663,Terad Games
664,The Fox Knocks
665,The Fun Pimps
666,The Indie Stone
667,Foxy Voxel
668,"Claudiu Kiss,The Irregular Corporation"
669,The Meta
670,U.Ground Game Studio
671,Math Tide
672,Question
673,"Purple Lamp,GolemLabs"
674,Purple Lamp
675,Pieces Interactive
676,Owned by Gravity
677,Nine Rocks Games
678,"Iron Lore Entertainment,THQ Nordic"
679,Frozenbyte
680,Bugbear
681,Black Sea Games
682,Black Forest Games
683,Ashborne Games
684,Appeal Studios
685,Thunder Lotus Games
686,The Station
687,Neverjam
688,Acme Gamestudio
689,TLM Partners
690,tobyfox
691,Superkami
692,Render Cube
693,Moon Punch Studio
694,Toukana Interactive
695,Tour De Pizza
696,Travis Miller
697,Tripwire Interactive
698,"Antimatter Games,Tripwire Interactive"
699,Torn Banner Studios
700,Sweet Bandits Studios
701,Triternion
702,Tuxedo Labs
703,Odinsoft Inc.
704,Two Star Games
705,TwoWizards
706,"Ubisoft Toronto,Ubisoft Montreal,Ubisoft Kyiv,Ubisoft Shanghai,Ubisoft Berlin"
707,Ubisoft Toronto
708,"Ubisoft Quebec,Ubisoft Montreal,Ubisoft Bucharest,Ubisoft Singapore,Ubisoft Montpellier,Ubisoft Kiev,Ubisoft Shanghai"
709,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade"
710,Ubisoft Paris
711,"Ubisoft Montreal,Ubisoft Quebec,Ubisoft Toronto,Blue Byte"
712,"Ubisoft Montreal,Red Storm,Ubisoft Shanghai,Ubisoft Toronto,Ubisoft Kiev"
713,Ubisoft Montreal
714,Ubisoft - San Francisco
715,Ubisoft
716,Ivory Tower
717,Blue Mammoth Games
718,Ubisoft Entertainment
719,"Ubisoft Annecy,Ubisoft Belgrade,Ubisoft Kyiv,Ubisoft Pune,Ubisoft Odesa"
720,Dotemu
721,4rtisans
722,Unknown Worlds Entertainment
723,Endava
724,"VALOFE,NS STUDIO"
725,VALOFE
726,"Valve,Hidden Path Entertainment"
727,Valve
728,Vankrupt Games
729,Vector3 Studio
730,Highwire Games
731,VOID Interactive
732,VRChat Inc.
733,WAKUWAKU
734,Wallpaper Engine Team
735,Walternate Realities
736,Wargaming Group Limited
737,Warhorse Studios
738,"Warner Bros. Games MontrÃ©al,QLOC"
739,Rocksteady Studios
740,Player First Games
741,"NetherRealm Studios,QLOC"
742,Avalanche Software
743,Turtle Rock Studios
744,TT Games
745,"NetherRealm Studios,QLOC,Shiver"
746,WarpFrog
747,Watashi Games
748,Monolith Productions
749,KEIZO
750,World Makers
751,Wube Software LTD.
752,Undead Labs
753,Turn 10
754,"Tantalus Media,Forgotten Empires"
755,"Skybox Labs,Hidden Path Entertainment,Ensemble Studios,Forgotten Empires"
756,"SkyBox Labs,Ensemble Studios"
757,"SkyBox Labs,Big Huge Games"
758,"Relic Entertainment,World's Edge"
759,Rare Ltd
760,Playground Games
761,Ninja Theory
762,"Mojang Studios,Blackbird Interactive"
763,Microsoft Game Studios
764,"Forgotten Empires,Tantalus Media,Wicked Witch"
765,"Forgotten Empires,Tantalus"
766,Ensemble Studios
767,"343 Industries,Splash Damage,Ruffian Games,Bungie,Saber Interactive"
768,343 Industries
769,"Shanghai Sunborn Network Technology Co., Ltd."
770,Xiexe
771,Xinyuan Studio
772,Voracious Games
773,YAGER
774,Purple Moss Collectors
775,It's happening
776,SaltyEgg Studio
777,ZA/UM
778,Zeekerss
779,ZTEK Studio
780,Mediatonic
781,Eagle Dynamics SA
